$ kubectl -n fraud-platform get events --sort-by=.metadata.creationTimestamp
LAST SEEN   TYPE      REASON                         OBJECT                                    MESSAGE
36s         Normal    Pulled                         pod/alert-handler-66d97775c9-dpjrr        Successfully pulled image "crpi-tpeh1o86awlrouhr.cn-hangzhou.personal.cr.aliyuncs.com/fraud-detection-reg/alert-handler:latest" in 6.34s (6.34s including waiting). Image size: 136954659 bytes.
36s         Normal    Started                        pod/alert-handler-66d97775c9-dpjrr        Container started
36s         Normal    Created                        pod/alert-handler-66d97775c9-dpjrr        Container created
22s         Normal    SuccessfulCreate               replicaset/alert-handler-66d97775c9       Created pod: alert-handler-66d97775c9-dfh66
22s         Normal    SuccessfulDelete               replicaset/alert-handler-55d7dd6975       Deleted pod: alert-handler-55d7dd6975-8g74n
22s         Normal    ScalingReplicaSet              deployment/alert-handler                  Scaled down replica set alert-handler-55d7dd6975 from 2 to 1
22s         Normal    ScalingReplicaSet              deployment/alert-handler                  Scaled up replica set alert-handler-66d97775c9 from 1 to 2
21s         Normal    Scheduled                      pod/alert-handler-66d97775c9-dfh66        Successfully assigned fraud-platform/alert-handler-66d97775c9-dfh66 to cn-hangzhou.10.94.68.55
22s         Normal    Killing                        pod/alert-handler-55d7dd6975-8g74n        Stopping container alert-handler
21s         Normal    AllocIPSucceed                 pod/alert-handler-66d97775c9-dfh66        Alloc IP 10.94.68.66/16 took 43.91916ms
21s         Normal    Pulling                        pod/alert-handler-66d97775c9-dfh66        Pulling image "crpi-tpeh1o86awlrouhr.cn-hangzhou.personal.cr.aliyuncs.com/fraud-detection-reg/alert-handler:latest"
15s         Normal    Pulled                         pod/alert-handler-66d97775c9-dfh66        Successfully pulled image "crpi-tpeh1o86awlrouhr.cn-hangzhou.personal.cr.aliyuncs.com/fraud-detection-reg/alert-handler:latest" in 6.271s (6.271s including waiting). Image size: 136954659 bytes.
15s         Normal    Created                        pod/alert-handler-66d97775c9-dfh66        Container created
15s         Normal    Started                        pod/alert-handler-66d97775c9-dfh66        Container started
1s          Normal    SuccessfulDelete               replicaset/alert-handler-55d7dd6975       Deleted pod: alert-handler-55d7dd6975-gxgx7
